detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
Sky Haus - A-Frame Cabin	Jun 11 - 16	306.0	4 beds	4.85	531	Chalet	Skykomish	US	Washington
The Catskill A-Frame - Mid-Century Modern Cabin	Jun 6 - 11	485.0	4 beds	4.77	146	Cabin	Hancock	US	New York
The Triangle: A-Frame Cabin for your city retreat	Jul 9 - 14	119.0	4 beds	4.91	515	Cabin	West Farmington	US	Ohio
*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub	Jun 11 - 16	192.0	5 beds	4.94	88	Home	Blue Ridge	US	Georgia
Luxury Treehouse Couples Getaway w/ Peaceful Views	Jun 4 - 9	232.0	1 queen bed	4.99	222	Treehouse	Grandview	US	Texas
Casa Tiny near Casa Wabi	Jun 21 - 26	261.0	1 double bed	4.84	555	Tiny home	Puerto Escondido	Mexico	
The Beach House. Oceanfront & Sunrise Views!	Jun 4 - 9	607.0	2 queen beds	4.64	90	Home	Saco	US	Maine
• Cedar Peak • 2 Bedroom Barrier-Free Chalet	Jun 8 - 15	381.0	2 beds	5.0	48	Chalet	Grand Étang	Canada	
Room in apartment, traditional neighborhood	Jul 3 - 8	29.0	2 beds	4.84	58	Room	Mexico City	Mexico	
Peacock Tiny House near Las Vegas	Jun 26 - Jul 1	154.0	3 beds	4.92	744	Tiny home	Sandy Valley	US	Nevada
Hidden Valley’s Guest Suite - explore nature	Sep 4 - 10	207.0	2 beds	4.97	265	Guest suite	Huntsville	Canada	
Downey Family Cabin. Barrel Sauna Included!	Jun 1 - 6	162.0	2 king beds	4.99	226	Cabin	Nelson	Canada	
Dome in the Desert in Joshua Tree	Jun 1 - 6	268.0	1 king bed	4.94	944	Dome	Joshua Tree	US	California
Private Barn Studio at Pura Vida Florida Farm	Sep 11 - 16	111.0	2 double beds	4.95	417	Barn	Vero Beach	US	Florida
Cozy Tiny House Cabin between Burlington and Stowe	Jun 1 - 6	174.0	2 queen beds	4.97	372	Tiny home	Bolton	US	Vermont
Peace Cabin - private waterfront forest retreat	Sep 8 - 13	497.0	1 king bed	4.99	69	Cabin	Ucluelet	Canada	
14th Homestead Barn Loft	Jun 11 - 16	163.0	1 king bed	4.9	289	Barn	Essex	Canada	
Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!	Jun 18 - 23	141.0	1 king bed	4.89	633	Apartment	Bacalar	Mexico	
The Forestry House - A modern luxury treehouse.	Aug 20 - 25	282.0	1 bed	0.0	0	Treehouse	Travelers Rest	US	South Carolina
Underground Hobbit Hole @ Sustainable Ecovillage	Jun 9 - 14	89.0	1 bed	4.54	195	Farm stay	Del Norte County	US	California
Rainforest Tree House with Hot Springs	Aug 31 - Sep 5	132.0	3 beds	4.84	763	Treehouse	San Carlos	Costa Rica	
Tullihas in the Trees Off-Grid Treehouse	Jun 4 - 9	143.0	2 beds	4.98	181	Treehouse	Frazeysburg	US	Ohio
SECLUDED LAKESIDE CABIN	Jul 23 - 28	463.0	3 beds	4.99	172	Cabin	Rodney	Canada	
Fauria Colonial House (Room 3)	Jun 21 - 26	29.0	1 bed	4.92	75	Room	La Habana	Cuba	
Domeland: Off-grid Adobe Dome near Big Bend	Jul 9 - 14	136.0	5 beds	4.95	863	Dome	Terlingua	US	Texas
Lake Sutherland Waterfront Cabin w/ Expansive Dock	Sep 1 - 6	688.0	1 king bed	4.82	83	Home	Port Angeles	US	Washington
Luxury Tree House X Magical Romantic Forest! Pool!	Jun 18 - 23	658.0	1 king bed	4.91	142	Treehouse	Fredericksburg	US	Texas
Scandinavian-Inspired Tiny Home Experience	Sep 3 - 8	392.0	2 beds	4.98	95	Cottage	Harcourt	Canada	
Tiny House Cubo Nube Santa Elena 40 min. Medellin.	Jun 17 - 22	67.0	1 queen bed	4.95	197	Tiny home	Medellín	Colombia	
Chalet Boutique Saltamontes Santa Elena	Jun 4 - 9	51.0	2 beds	4.94	232	Cabin	Medellín	Colombia	
Secluded View! A-Frame Hot Tub and Fire Pit	Jun 19 - 24	354.0	1 queen bed	4.95	20	Cabin	Bryson City	US	North Carolina
★ BubbleSky Glamping ★ One Night Under Stars ★3	Jun 23 - 28	107.0	2 king beds	4.9	154	Place to stay	Retiro	Colombia	
Cozy Oceanview Cabin	Jul 14 - 21	102.0	1 king bed	4.88	76	Cabin	Bluefields	Jamaica	
Hut #1 Romantic Luxury Beachfront	Jul 1 - 6	171.0	2 beds	4.89	377	Hut	Bavaro	Dominican Republic	
Treehouse w/Breathtaking Views+HotTub+Hiking+Falls	Aug 12 - 17	286.0	1 queen bed	5.0	21	Treehouse	Marion	US	North Carolina
“Whimsical Stone Abode” - Boston Magazine	Jun 6 - 11	301.0	1 queen bed	5.0	244	Dome	Sandgate	US	Vermont
Buddha Loft in Romantic Zone of Puerto Vallarta	Jul 12 - 17	112.0	1 bed	4.85	175	Condo	Puerto Vallarta	Mexico	
The G Frame...an offGrid Cabin + woodstove sauna	Jun 4 - 9	169.0	2 king beds	4.96	395	Cabin	Sanbornton	US	New Hampshire
Casa Blanca B&B with beautiful terrace &sea views	Sep 11 - 16	43.0	2 king beds	4.82	359	Room	La Habana	Cuba	
Walk to the Beach from this Ocean Front Home	Jun 1 - 6	1463.0	9 beds	4.94	149	Home	Moss Beach	US	California
Cozy Modern Beach House w/ Pool, Hot Tub & More!	Jun 4 - 11	764.0	2 queen beds	4.74	19	Cottage	Wheatley	Canada	
Crystal Cabin, Restored Vintage Lodge in Topanga State Park	Jun 3 - 8	225.0	1 double bed	4.94	209	Cabin	Topanga	US	California
Casa Anís	Jun 1 - 6	40.0	3 beds	4.96	202	Chalet	Cajicá	Colombia	
Warm Pine A-frame Nestled In The Trees!	Jul 1 - 6	287.0	1 double bed	4.79	536	Cabin	Center Conway	US	New Hampshire
Hambrook Point Cottage “Homestead”	Jun 25 - 30	93.0	3 beds	4.87	360	Cottage	Renous	Canada	
O’s Barn Cabin	Jul 4 - 9	118.0	2 double beds	4.94	296	Tiny home	Huntsville	US	Missouri
"Artsy ""Glamping"" experience"	Jul 21 - 26	138.0	3 beds	4.91	278	Tiny home	Castleton	Canada	
Seamist Beach Cottage, Private Beach & Ocean views	Aug 13 - 18	670.0	2 beds	4.7	256	Cottage	Bodega Bay	US	California
100+ Year old Rustic Log Cabin near Ghost Lake	Aug 25 - 30	135.0	1 sofa bed	4.83	459	Cabin	Rocky View County	Canada	
The Dragon + Private Island	Jun 1 - 6	178.0	1 queen bed	4.87	61	Houseboat	Low	Canada	
Private Cottage, enjoy beach, sunsets & fishing.	Jul 11 - 16	218.0	3 beds	4.89	314	Guesthouse	Key Largo	US	Florida
Malibu, Carbon Beach - Suite Seven	Jun 6 - 13	898.0	2 queen beds	4.86	311	Condo	Malibu	US	California
Waterfront Cottage #1 /Waterfront cottage	Jun 4 - 9	144.0	2 queen beds	4.92	267	Cottage	Petit-Tracadie	Canada	
Harrell’s Cabin	Jun 4 - 9	125.0	2 queen beds	4.82	612	Cabin	Jarratt	US	Virginia
6 Ibuku Big Cabin by Lake Jacuzzi Kayak	Jun 12 - 17	220.0	7 beds	4.93	46	Cabin	El Peñol	Colombia	
The Brite House - Oceanfront Sojourn	Jun 6 - 11	305.0	3 beds	4.87	319	Guest suite	North Vancouver	Canada	
